snapshot_date,symbol,idx_code,issuer_name,board,sector
2025-09-20,ELTY.JK,ELTY,PT Bakrieland Development Tbk Class A,,Finance
2025-09-20,EMAS.JK,EMAS,MERDEKA GOLD RESOURCES TBK,,Non-energy minerals
2025-09-20,EMDE.JK,EMDE,PT Megapolitan Developments Tbk,,Finance
2025-09-20,EMTK.JK,EMTK,PT Elang Mahkota Teknologi Tbk,,Consumer services
2025-09-20,ENAK.JK,ENAK,PT Champ Resto Indonesia Tbk,,Consumer services
2025-09-20,ENRG.JK,ENRG,PT Energi Mega Persada Tbk,,Energy minerals
2025-09-20,ENZO.JK,ENZO,PT Morenzo Abadi Perkasa Tbk,,Consumer non-durables
2025-09-20,EPAC.JK,EPAC,PT Megalestari Epack Sentosaraya Tbk,,Technology services
2025-09-20,EPMT.JK,EPMT,PT Enseval Putera Megatrading Tbk,,Distribution services
2025-09-20,ERAA.JK,ERAA,PT Erajaya Swasembada Tbk,,Distribution services
2025-09-20,ERAL.JK,ERAL,PT Sinar Eka Selaras Tbk,,Retail trade
2025-09-20,ERTX.JK,ERTX,PT Eratex Djaja Tbk,,Process industries
2025-09-20,ESIP.JK,ESIP,PT Sinergi Inti Plastindo Tbk,,Producer manufacturing
2025-09-20,ESSA.JK,ESSA,PT ESSA Industries Indonesia Tbk,,Energy minerals
2025-09-20,ESTA.JK,ESTA,PT Esta Multi Usaha Tbk,,Consumer services
2025-09-20,ESTI.JK,ESTI,PT Ever Shine Textile Tbk,,Process industries
2025-09-20,EURO.JK,EURO,PT Estee Gold Feet Tbk,,Consumer non-durables
2025-09-20,EXCL.JK,EXCL,PT XLSMART Telecom Sejahtera Tbk,,Communications
2025-09-20,FAPA.JK,FAPA,PT FAP Agri Tbk,,Consumer non-durables
2025-09-20,FAST.JK,FAST,PT Fast Food Indonesia Tbk,,Consumer services
2025-09-20,FILM.JK,FILM,PT MD Entertainment Tbk,,Consumer services
2025-09-20,FIRE.JK,FIRE,PT Alfa Energi Investama Tbk,,Energy minerals
2025-09-20,FISH.JK,FISH,PT FKS Multi Agro Tbk,,Consumer non-durables
2025-09-20,FITT.JK,FITT,PT Hotel Fitra International Tbk,,Consumer services
2025-09-20,FLMC.JK,FLMC,PT Falmaco Nonwoven Industri Tbk,,Process industries
2025-09-20,FMII.JK,FMII,PT Fortune Mate Indonesia Tbk,,Finance
2025-09-20,FOLK.JK,FOLK,PT Multi Garam Utama Tbk,,Distribution services
2025-09-20,FOOD.JK,FOOD,PT Sentra Food Indonesia Tbk,,Distribution services
2025-09-20,FORE.JK,FORE,PT Fore Kopi Indonesia Tbk,,Consumer services
2025-09-20,FORU.JK,FORU,"PT Fortune Indonesia, Tbk",,Commercial services
2025-09-20,FPNI.JK,FPNI,PT Lotte Chemical Titan Tbk,,Process industries
2025-09-20,FUJI.JK,FUJI,PT Fuji Finance Indonesia Tbk.,,Finance
2025-09-20,FUTR.JK,FUTR,PT Futura Energi Global Tbk,,Commercial services
2025-09-20,FWCT.JK,FWCT,PT Wijaya Cahaya Timber Tbk,,Non-energy minerals
